Cases, Quick, Merge
100,0,0
200,0,0
300,0,0
400,0,0
500,0,0
600,0,0
700,0,0
800,0,0
900,0,0.004
1000,0,0
1100,0,0
1200,0,0
1300,0,0
1400,0,0
1500,0,0.001
1600,0,0
1700,0,0
1800,0,0
1900,0,0
2000,0,0
2100,0,0
2200,0,0
2300,0,0
2400,0,0
2500,0,0.004
2600,0,0.001
2700,0,0
2800,0,0.001
2900,0,0
3000,0,0
3100,0,0.001
3200,0,0
3300,0,0
3400,0.005,0.001
3500,0,0
3600,0.004,0
3700,0,0.001
3800,0,0
3900,0.001,0
4000,0.001,0
4100,0.001,0
4200,0.001,0
4300,0,0.001
4400,0.001,0
4500,0.001,0.001
4600,0.001,0
4700,0,0
4800,0,0.001
4900,0.001,0
5000,0.001,0
5100,0,0.001
5200,0.001,0
5300,0,0.001
5400,0.001,0.001
5500,0,0.001
5600,0,0
5700,0.001,0
5800,0,0.001
5900,0.001,0.002
6000,0.001,0
6100,0.001,0.001
6200,0,0.001
6300,0.001,0.001
6400,0.001,0
6500,0.001,0.001
6600,0,0.001
6700,0,0.001
6800,0.001,0
6900,0,0.001
7000,0.001,0.001
7100,0,0.001
7200,0.001,0
7300,0.001,0.001
7400,0,0.001
7500,0.001,0.001
7600,0.001,0
7700,0.001,0.002
7800,0.001,0.001
7900,0.001,0.001
8000,0.001,0.001
8100,0.001,0.001
8200,0,0.001
8300,0,0.001
8400,0.002,0.001
8500,0.001,0.001
8600,0.001,0.001
8700,0.001,0.001
8800,0.001,0.002
8900,0.001,0.001
9000,0.001,0.002
9100,0.001,0.001
9200,0,0.001
9300,0.001,0.002
9400,0.001,0
9500,0.001,0.001
9600,0,0.001
9700,0.001,0.001
9800,0.001,0.002
9900,0.001,0.001
10000,0.001,0.001
10100,0.001,0.001
10200,0.001,0.001
10300,0.001,0.001
10400,0.001,0.002
10500,0.001,0.001
10600,0.001,0.001
10700,0.001,0.002
10800,0.001,0.001
10900,0.001,0.001
11000,0.001,0.001
11100,0.001,0.002
11200,0.001,0.001
11300,0.001,0.002
11400,0.001,0.002
11500,0.001,0.001
