Cases, Selection, Insertion
100,0,0
200,0,0
300,0,0
400,0,0
500,0,0
600,0,0
700,0.005,0
800,0,0
900,0,0.006
1000,0,0
1100,0,0.005
1200,0,0
1300,0.005,0
1400,0.006,0
1500,0.006,0
1600,0.005,0
1700,0.005,0.005
1800,0.005,0
1900,0.005,0.005
2000,0.005,0.005
2100,0.014,0
2200,0.005,0.005
2300,0.005,0.005
2400,0.011,0.005
2500,0.005,0.005
2600,0.011,0.005
2700,0.01,0.005
2800,0.01,0.005
2900,0.011,0.005
3000,0.016,0.011
3100,0.012,0.01
3200,0.016,0.007
3300,0.015,0.005
3400,0.014,0.005
3500,0.016,0.01
3600,0.02,0.01
3700,0.023,0.017
3800,0.025,0.01
3900,0.026,0.01
4000,0.02,0.01
4100,0.027,0.016
4200,0.03,0.012
4300,0.025,0.013
4400,0.025,0.019
4500,0.033,0.015
4600,0.028,0.02
4700,0.027,0.018
4800,0.034,0.015
4900,0.038,0.019
5000,0.04,0.02
5100,0.041,0.022
5200,0.038,0.02
5300,0.041,0.017
5400,0.044,0.026
5500,0.045,0.023
5600,0.045,0.027
5700,0.052,0.027
5800,0.047,0.033
5900,0.052,0.027
6000,0.052,0.03
6100,0.058,0.031
6200,0.055,0.037
6300,0.056,0.034
6400,0.066,0.041
6500,0.081,0.027
6600,0.06,0.048
6700,0.076,0.046
6800,0.071,0.03
6900,0.066,0.028
7000,0.068,0.043
7100,0.094,0.05
7200,0.095,0.046
7300,0.078,0.032
7400,0.072,0.039
7500,0.094,0.05
7600,0.073,0.039
7700,0.082,0.04
7800,0.077,0.055
7900,0.101,0.045
8000,0.095,0.054
8100,0.09,0.06
8200,0.103,0.045
8300,0.103,0.066
8400,0.096,0.053
8500,0.091,0.049
8600,0.11,0.077
8700,0.106,0.052
8800,0.117,0.077
8900,0.139,0.058
9000,0.129,0.057
9100,0.12,0.068
9200,0.13,0.056
9300,0.136,0.06
9400,0.167,0.074
9500,0.14,0.07
9600,0.122,0.06
9700,0.133,0.069
9800,0.149,0.065
9900,0.133,0.068
10000,0.149,0.078
10100,0.165,0.079
